Date ,Philadelphia,Phoenix,San Antonio,San Diego,Dallas
Jan-17,6.6,4.9,4,4.5,4.3
Feb-17,6.7,4.6,4,4.3,4.4
Mar-17,6.3,4.4,3.7,4.1,4.2
Apr-17,5.8,4.2,3.3,3.8,3.9
May-17,6.2,4.3,3.4,3.6,3.9
Jun-17,6.5,4.6,3.8,4.2,4.2
Jul-17,7.1,4.6,3.8,4.3,4.1
Aug-17,7.1,4.6,3.7,4.2,4.1
Sep-17,6.3,4.3,3.3,3.7,3.7
Oct-17,6,4.1,3.1,3.6,3.5
Nov-17,6,4.1,3.3,3.5,3.6
Dec-17,5.7,4.1,3.1,3.3,3.5
Jan-18,6.3,4.5,3.5,3.7,4
Feb-18,6.4,4.3,3.5,3.5,4.1
Mar-18,6,4.2,3.4,3.3,3.9
Apr-18,5.4,4,3.1,3,3.6
May-18,5.5,3.8,3.1,2.8,3.6
Jun-18,6.1,4.5,3.7,3.5,4.1
Jul-18,6.5,4.4,3.6,3.5,4.1
Aug-18,6.4,4.4,3.5,3.4,3.9
Sep-18,5.4,4.2,3.3,3.1,3.8
Oct-18,5.2,4.2,3.1,3.2,3.6
Nov-18,4.9,4,3.1,3.1,3.5
Dec-18,5,4.4,3.2,3.2,3.6
Jan-19,6,4.8,3.6,3.7,4.1
Feb-19,5.7,4.4,3.3,3.2,3.8
Mar-19,5.6,4.4,3.1,3.3,3.5
Apr-19,4.9,4,2.7,2.8,3.1
May-19,5.4,4.2,2.8,2.7,3.2
Jun-19,5.8,4.6,3.4,3.3,3.7
Jul-19,6.5,4.6,3.4,3.5,3.8
Aug-19,6.5,4.4,3.3,3.4,3.7
Sep-19,5.6,3.9,3.1,2.9,3.4
Oct-19,5.6,4.1,3,3,3.2
Nov-19,5.3,3.9,2.9,3,3.2
Dec-19,5.2,3.9,2.7,2.9,3
Jan-20,6,4.4,3.1,3.2,3.4
Feb-20,5.9,4.3,3,3,3.3
Mar-20,7,5.2,4.8,4.5,5.3
Apr-20,17.1,13.3,13,15.3,12.7
May-20,16.7,11.2,12.4,15.9,12.6
Jun-20,16.9,10,10.5,13.4,11.3
Jul-20,16.8,9.7,9.9,12.4,10.3
Aug-20,14.4,8.1,7.9,10.3,8.4
Sep-20,13.6,7.4,7.4,9.3,8
Oct-20,11.8,6.8,6.3,8.1,7
Nov-20,11.6,6.5,6.4,7.7,7
Dec-20,11.6,6.6,6.2,8.3,7
Jan-21,11.1,6.6,6.6,8.5,7.1
Feb-21,10.8,6.3,6.4,7.6,7
Mar-21,10.3,5.9,6.1,7.2,6.8
Apr-21,9.7,5.6,5.4,7.1,6.1
May-21,9.6,5.3,5.2,6.4,5.8
Jun-21,10.2,5.7,5.8,7,6.3
Jul-21,9.7,5,5.4,6.6,5.8
Aug-21,9.3,4.6,5.1,6.2,5.5
Sep-21,8.1,4.1,4.7,5.1,5
Oct-21,7.7,3.5,4.4,4.9,4.7
Nov-21,7,3,4.1,4.3,4.4
Dec-21,6.3,2.7,3.8,3.9,4
Jan-22,7.7,3.4,4.3,4.5,4.5
Feb-22,6.8,3.3,4.2,3.9,4.4
Mar-22,6.3,2.5,3.5,3.3,3.6
Apr-22,6,2.8,3.3,2.9,3.4
May-22,5.7,3,3.5,2.6,3.5
Jun-22,6.2,3.4,4,3,4
Jul-22,6.2,3.4,3.9,2.9,4
Aug-22,6.4,3.5,3.8,3.2,3.9
Sep-22,4.9,3.6,3.5,2.9,3.6
Oct-22,4.7,3.5,3.5,3,3.6
Nov-22,4.8,3,3.4,3.2,3.5
Dec-22,4.5,2.7,3.2,2.7,3.4